no,date,category,project,customer,company,rank,budget,bid_price,price_score,tech_score,total_score,price_score_origin,price_score_max,tech_score_origin
1,2024-06-18,AICC,대한지방행정공제회 AI기반 스마트 컨택센터 구축 용역,대한지방행정공제회,(주)이씨에스텔레콤,1,2530000000,,92.73,94.3,94.143,9.273,10,84.87
2,2024-06-18,AICC,대한지방행정공제회 AI기반 스마트 컨택센터 구축 용역,대한지방행정공제회,(주)브리지텍,2,2530000000,,83.877,92.9,91.9977,8.3877,10,83.61
3,2024-06-18,AICC,대한지방행정공제회 AI기반 스마트 컨택센터 구축 용역,대한지방행정공제회,주식회사 케이티,3,2530000000,,87.85,91.21666667,90.88,8.785,10,82.095
4,2024-06-18,AICC,대한지방행정공제회 AI기반 스마트 컨택센터 구축 용역,대한지방행정공제회,주식회사 넥서스커뮤니티,4,2530000000,,100,85.93333333,87.34,10,10,77.34
5,2020-10-23,IPCC,소재부품장비 융합혁신지원단 컨택센터 구축,한국산업기술진흥원,주식회사 솔트룩스이노베이션,1,300000000,291000000,,,,,,
6,2020-09-07,IPCC,(긴급)공영홈쇼핑 스마트 컨택센터 시스템 이원화 사업(재공고),(주)공영홈쇼핑,주식회사 아리시스,1,1645237000,,93.122,95.70366667,95.4455,9.3122,10,86.1333
7,2020-09-07,IPCC,(긴급)공영홈쇼핑 스마트 컨택센터 시스템 이원화 사업(재공고),(주)공영홈쇼핑,모던웨이브(주),2,1645237000,,100,80.463,82.4167,10,10,72.4167
8,2016-04-27,IPCC,120 스마트 민원 컨택센터 시스템 구축 사업,제주특별자치도,(주)시큐에이스,1,720000000,654573997,99.821,91.64,92.4581,9.9821,10,82.476
9,2016-04-27,IPCC,120 스마트 민원 컨택센터 시스템 구축 사업,제주특별자치도,에이블컴 주식회사,2,720000000,653400000,100,89.77777778,90.8,10,10,80.8
10,2016-04-27,IPCC,120 스마트 민원 컨택센터 시스템 구축 사업,제주특별자치도,에이플시스템즈(주),3,720000000,675000000,96.8,89.7,90.41,9.68,10,80.73
11,2011-08-01,IPCC,전북기업지원 컨택센터 시스템 고도화용역 (긴급공고),재단법인 전북테크노파크,주식회사 테크인사이드 앤 컴퍼니,1,130000000,126000000,81.746,87,85.9492,16.3492,20,69.6
12,2011-08-01,IPCC,전북기업지원 컨택센터 시스템 고도화용역 (긴급공고),재단법인 전북테크노파크,주식회사 아이엠시티,2,130000000,103000000,100,79.875,83.9,20,20,63.9
13,2010-09-27,IPCC,군인공제회 통합컨택센터 성능개선 사업,군인공제회,(주)이씨에스텔레콤,1,216599000,198000000,,,,,,
14,2010-09-27,IPCC,군인공제회 통합컨택센터 성능개선 사업,군인공제회,티에이케이정보시스템(주),2,216599000,199000000,,,,,,
13,2009-09-11,IPCC,IP 컨택센터 구축사업 긴급 입찰 시행,공무원연금관리공단,주식회사 케이티,1,1735310000,1716000000,96.667,89.73333333,90.4267,9.6667,10,80.76
16,2009-09-11,IPCC,IP 컨택센터 구축사업 긴급 입찰 시행,공무원연금관리공단,한솔인티큐브(주),2,1735310000,1658800000,100,83.08888889,84.78,10,10,74.78
17,2009-09-11,IPCC,IP 컨택센터 구축사업 긴급 입찰 시행,공무원연금관리공단,삼성에스디에스 주식회사,3,1735310000,1659000000,99.988,77.64444444,79.8788,9.9988,10,69.88
18,2009-08-19,IPCC,JBTP통합기반의 전북기업지원컨택센터 구축용역,재단법인 전북테크노파크,(주)아워텍,1,280000000,271600000,98.6745,86.3,88.7749,19.7349,20,69.04
19,2009-08-19,IPCC,JBTP통합기반의 전북기업지원컨택센터 구축용역,재단법인 전북테크노파크,유한회사 씨엔엔테크,2,280000000,268000000,100,79.3875,83.51,20,20,63.51
20,2024-04-09,AICC ,"「120 AICC 2단계, 상담도우미·실시간 채팅상담 」 구축 용역",재단법인 서울특별시 120다산콜재단,아일리스프런티어 주식회사,1,1396607000,1117300000,100,94.619,95.1571,10,10,85.1571
21,2024-04-09,AICC ,"「120 AICC 2단계, 상담도우미·실시간 채팅상담 」 구축 용역",재단법인 서울특별시 120다산콜재단,주식회사 아리시스,2,1396607000,1194099000,93.568,94.63488889,94.5282,9.3568,10,85.1714
22,2023-08-11,AICC ,"120 AICC 2단계, STT(Speech To Text) 구축",재단법인 서울특별시 120다산콜재단,주식회사 팀벨,1,684067000,636000000,86.046,95.5,94.5546,8.6046,10,85.95
23,2023-08-11,AICC ,"120 AICC 2단계, STT(Speech To Text) 구축",재단법인 서울특별시 120다산콜재단,주식회사 아리시스,2,684067000,560934940,97.561,91.93288889,92.4957,9.7561,10,82.7396
24,2023-08-11,AICC ,"120 AICC 2단계, STT(Speech To Text) 구축",재단법인 서울특별시 120다산콜재단,주식회사엘젠,3,684067000,547253600,100,91.49077778,92.3417,10,10,82.3417
25,2023-08-11,AICC ,"120 AICC 2단계, STT(Speech To Text) 구축",재단법인 서울특별시 120다산콜재단,아일리스프런티어 주식회사,4,684067000,548620000,99.751,90.76688889,91.6653,9.9751,10,81.6902
26,2023-08-11,AICC ,"120 AICC 2단계, STT(Speech To Text) 구축",재단법인 서울특별시 120다산콜재단,(주)이씨에스텔레콤,5,684067000,670450000,81.625,90.53244444,89.6417,8.1625,10,81.4792
27,2023-08-11,AICC ,"120 AICC 2단계, STT(Speech To Text) 구축",재단법인 서울특별시 120다산콜재단,주식회사 에이아이포블록체인,6,684067000,638000000,85.776,80.63888889,81.1526,8.5776,10,72.575
28,2023-06-09,AICC ,"120 AICC 1단계, 「보이는 ARS」구축",재단법인 서울특별시 120다산콜재단,주식회사 디오티스,1,604494000,537900000,89.904,92.40744444,92.1571,8.9904,10,83.1667
29,2023-06-09,AICC ,"120 AICC 1단계, 「보이는 ARS」구축",재단법인 서울특별시 120다산콜재단,다윈인텔리전스주식회사,2,604494000,483500000,30,85.90744444,80.3167,3,10,77.3167
30,2024-06-17,AICC ,120달구벌콜센터 AI상담시스템 2단계 구축 용역,대구광역시,주식회사 아리시스,1,749100000,614262000,100,92.88888889,93.6,10,10,83.6
31,2024-06-17,AICC ,120달구벌콜센터 AI상담시스템 2단계 구축 용역,대구광역시,주식회사 마음에이아이,2,749100000,737860000,83.249,90.50688889,89.7811,8.3249,10,81.4562
32,2024-04-30,AICC ,한국교직원공제회 콜센터 시스템 재구축,한국교직원공제회,주식회사 케이티,1,13944000000,,100,88.76666667,89.89,10,10,79.89
33,2024-04-30,AICC ,한국교직원공제회 콜센터 시스템 재구축,한국교직원공제회,주식회사 엘지씨엔에스,2,13944000000,,98.55,88.63333333,89.625,9.855,10,79.77
34,2024-04-30,AICC ,한국교직원공제회 콜센터 시스템 재구축,한국교직원공제회,에스케이 주식회사,3,13944000000,,97.473,80.54444444,82.2373,9.7473,10,72.49
35,2024-04-17,AICC ,(협상에 의한 계약)안성시 민원상담콜센터 시스템 구축 사업 용역,경기도 안성시,주식회사 티플리스,1,635590000,599360000,88.259,90.17777778,89.9859,8.8259,10,81.16
36,2024-04-17,AICC ,(협상에 의한 계약)안성시 민원상담콜센터 시스템 구축 사업 용역,경기도 안성시,(주)브리지텍,2,635590000,528990000,100,88.54444444,89.69,10,10,79.69
37,2024-04-17,AICC ,(협상에 의한 계약)안성시 민원상담콜센터 시스템 구축 사업 용역,경기도 안성시,주식회사 아리시스,3,635590000,603810500,87.609,87.62222222,87.6209,8.7609,10,78.86
38,2024-04-17,AICC ,(협상에 의한 계약)안성시 민원상담콜센터 시스템 구축 사업 용역,경기도 안성시,주식회사 리베고,4,635590000,598400000,88.401,85.33333333,85.6401,8.8401,10,76.8
39,2024-04-16,AICC ,미래형 콜센터 시스템 구축 용역,주택도시보증공사,(주)브리지텍,1,1523770230,1314500000,100,92.51855556,93.2667,10,10,83.2667
40,2024-04-16,AICC ,미래형 콜센터 시스템 구축 용역,주택도시보증공사,주식회사 티플리스,2,1523770230,1443010408,91.094,92.90122222,92.7205,9.1094,10,83.6111
41,2024-04-16,AICC ,미래형 콜센터 시스템 구축 용역,주택도시보증공사,주식회사 한국클라우드,3,1523770230,1493000000,88.044,93.216,92.6988,8.8044,10,83.8944
42,2024-04-16,AICC ,미래형 콜센터 시스템 구축 용역,주택도시보증공사,주식회사 이아이씨엔,4,1523770230,1502875000,87.466,92.38888889,91.8966,8.7466,10,83.15
43,2023-07-21,IPCC,포천시 민원콜센터 시스템 구축 용역,경기도 포천시,주식회사 아리시스,1,963998000,950502028,89.111,95.40744444,94.7778,8.9111,10,85.8667
44,2023-07-21,IPCC,포천시 민원콜센터 시스템 구축 용역,경기도 포천시,주식회사 보다컴,2,963998000,847000000,100,93.37033333,94.0333,10,10,84.0333
45,2023-04-28,IPCC,파주시 민원콜센터 시스템 구축 용역,경기도 파주시,주식회사 티플리스,1,947750000,898467000,98.101,96.42222222,96.5901,9.8101,10,86.78
46,2023-04-28,IPCC,파주시 민원콜센터 시스템 구축 용역,경기도 파주시,주식회사 티앤아이씨티,2,947750000,881407500,100,90.4,91.36,10,10,81.36
