no,company,date,title,content,,,,,,,,,,,,,,,,,,,,,
1,주식회사 아리시스,2024-10-08,아리시스 홈페이지 (http://arisys.co.kr/solutions/%EC%86%94%EB%A3%A8%EC%85%98-%EC%86%8C%EA%B0%9C/),"AICC는 인공지능(AI, Artificial Intelligent) 기술인 음성인식, 음성합성, 텍스트분석(TA), 대화엔진 등으로 이루어진 ＇챗봇＇과 ＇음성봇’ 을 대표적인 AI솔루션으로 활용하고 있습니다. 이러한 챗봇이나 음성봇을 통해 고객은 원하는 상담을 빠르게 받을 수 있고, 상담사는 좀 더 신속하고 정확한 고객응대가 가능하도록 하는 차세대 콜센터 기술입니다. 기업 입장에선 한정된 인력으로 최대한 많은 고객을 상담 해야 하므로 콜센터 환경에 필요한 자원을 최적화할 수 있고, 상담사 입장에선 AI 관련 솔루션의 도움으로 고품질의 상담서비스를 제공할 수 있게 됨으로써 결과적으로 고객 만족도를 크게 향상시킬 수 있게 되었습니다.
컨택센터의 AI 솔루션 도입은 고민이 아닌 필수입니다.
아리시스는 AI 솔루션들과 연동할 수 있는 플랫폼 게이트웨이 솔루션인 AI-VoG를 통해 여러가지 AI엔진 및 STT, DNN TTS 등과 연동성을 제공할 수 있습니다. 뿐만 아니라 정확한 주소를 빠르게 확인할 수 있게 하는 AI 주소봇, 상담사들과 고객과의 대화 중에 핵심 키워드를 분석하여 상담사에게 최적의 상담자료를 제공하는 AI 상담가이드봇 등의 솔루션 역시 아리시스에서 고객의 요구사항에 맞게 최적화하여 제공합니다.
AI-VoG
코로나(COVID-19) 확산으로 컨택센터에서의 챗봇과 콜봇 등 AI 솔루션의 도입 요구가 급격히 증가하는 이른바, 컨택센터의 디지털전환이 가속화 되면서 컨택센터의 AI기술 접목을 위해 꼭 필요한 AI 게이트웨이 솔루션인 AI-VoG(Arisys Intelligent Voice Gateway)를 출시하였습니다.
AI-VoG는 AI 콜봇 구현에 필요한 음성처리 솔루션으로 시나리오 봇과 ACS(Auto Call System) 기능을 기본적으로 제공하고, DNN TTS, STT, AI 엔진, TA 솔루션 등과 연동가능한 AI 콜봇 기능을 제공합니다.
추가적으로 아리시스의 AI-VoG 솔루션은 수신상담을 위한 IVR 셀프서비스, 발신상담을 위한 ACS 및 캠페인 기능, 다양한 AI엔진/TTS/STT/TA 솔루션 등과 연동을 할 수 있는 인터페이스 제공, AI 상담관련 현황 및 통계 제공 그리고 시스템 컨트롤 기능을 제공하는 통합관리 프로그램까지 제공합니다.
AI-주소봇
AI 주소봇 서비스는 배송지 주소 또는 배달 가능한 주소를 자연어를 포함하여 이야기하면, 대한민국 주소 체계 정보에 해당하는 데이터만을 추출하여 방문이 가능한 주소 여부를 판단하고, 판단 결과에 따라 추가 질의 또는 확인과정을 통해 정확한 주소정보를 제공하며, 상담사용 주소검색 서비스도 옵션으로 제공합니다.
고객이 말하는 주소를 실시간으로 인식하여 상담사에게 제공하여 정확한 상담과 상담시간 감소의 효과를 제공합니다.
AI 주소봇 솔루션은 주소봇 알고리즘의 특허를 보유하고 있으며, 음성인식 결과판단 및 보정기술, 추가질의여부 판단, 질문 시나리오 제공 그리고 정기적인 주소정보 업데이트 등으로 국내 No.1 주소인식율을 제공합니다. 또한 상담사의 주소검색 지원용 솔루션 제공 등의 특장점으로 국내에 홈쇼핑 뿐만 아니라 및 제조사, 서비스분야와 공공기관 등 다수의 레퍼런스를 확보하고 있습니다.
AI-상담가이드봇
AI 상담가이드봇은 상담사들에 대한 대면교육 기회부족 및 방대한 분량의 상담자료 등의 환경에서 고객이 요구하는 Needs 를 빠르게 파악하여 상담사에게 최적의 상담가이드를 추천하는 솔루션으로 상담사의 업무 효율성 및 상담품질 확보, 그리고 고객만족도를 높일 수 있는 컨택센터의 핵심솔루션입니다. AI 상담가이드봇은 고객들의 서비스에 대한 불만 및 상담사들의 부담 가중 현상을 해결하기 위한 솔루션으로,
실시간 고객과 상담사 간의 대화내용에서 핵심 키워드 분석하고 추출하여 상담사에게 최적의 상담 가이드 컨텐츠 추천으로 상담사의 상담품질을 확보하게 합니다.
AI 상담가이드봇의 도입을 통해서 고객센터의 상담시간 10% 이상 단축, 상담사들의 상담품질 상향 평준화,고객의 상담 대기시간 단축 및 고객의 서비스 만족도 향상 그리고 상담사들의 상담 스트레스 감소 등의 효과를 기대할 수 있습니다.",,,,,,,,,,,,,,,,,,,,,
2,주식회사 아리시스,2023-11-07,"아리시스, 'AI 민원 콜봇' 솔루션으로 GS인증 1등급 획득","지능형 콜센터(AICC) 전문 아리시스(대표 이대섭)는 'AI 민원 콜봇(AI CallBot v2.1)' 솔루션으로 GS인증 1등급을 획득했다고 7일 밝혔다. 
GS인증은 한국정보통신기술협회(TTA)가 ISO 국제표준을 기반으로 기능성, 신뢰성, 안정성, 보안성 등을 종합 평가해 우수한 품질을 갖춘 제품에 부여하는 국가인증제도다. 
AI 민원콜봇은 다수의 고객에게 설정된 캠페인 실행 조건에 따라 자동으로 전화를 걸어 질문과 답변을 처리한다.
또 음성-텍스트 전환 및 자연처리(NLP) 등 솔루션과 연동해 고객민원 콜 만족도 조사나 지자체 시행정책 평가, 각종 설문조사, 금융상품 안내 등 다양한 서비스에 적용 가능하다. 서비스에 대한 설정 및 관리기능, 통계기능 등도 제공한다. 
이대섭 아리시스 대표는 “이번 GS인증 획득으로 안정성과 우수성을 확보한 만큼 기업시장에서 많은 레퍼런스와 경험을 가지고 더 혁신적인 AICC를 제안할 수 있게 됐다""라며 ""공공시장에서도 많은 분야의 고객민원을 빠른 시간에 해결할 수 있기 때문에 여러 지자체에 제안을 시작했다""라고 말했다.
또 ""고객이 제품의 우수성을 인정해준 것이라 판단, 더 안정적이고 혁신적인 구축을 약속드리겠다”라고 덧붙였다. ",,,,,,,,,,,,,,,,,,,,,
3,주식회사 아리시스,2024-04-17,"아리시스, 포천시 민원콜센터 '답변봇' 구축","아리시스가 포천시 민원콜센터 시스템 구축과 포천시청 답변봇(Alli) 구축을 완료했다고 17일 밝혔다.
포천시는 지난 11일 전화 한 통으로 대부분의 민원을 해결할 수 있는 포천시 민원콜센터를 개소했다.
포천시 민원콜센터는 지난달 14일 서비스를 정식으로 오픈한데 이어 11일 민원콜센터 현판식과 개소식을 진행했다.
아리시스는 포천시와 함께 지난 2023년 9월부터 올해 1월까지 6개월에 걸쳐 민원콜센터 시스템의 구축과 홈페이지를 통한 포천시청 답변봇을 구축했다.
구체적으로 포천시민원콜센터시스템은 상담들의 업무수행에 최적화된 UI를 구현해 민원상담콜 인입시 상담사가 한 화면에서 모든 업무처리가 가능하도록 구성했다. 이를 통해 상담업무에 집중할 수 있을 것으로 기대하고 있다. 
또 상담 메뉴얼 또한 실시간 업데이트를 통해 표준화된 상담 응대가 가능할 것으로 보고 있다. 전광판을 통해 민원콜센터의 통화 현황을 대시보드 형태로 제공, 상담사 관리를 최적화 할 수 있도록 구현했다.
효과적인 서비스를 제공하기 위해 민원콜센터 시스템과 새올행정시스템, 주정차시스템, 세무행정, 상하수도시스템, 환경개선개선부담금시스템 등 성공적인 연계를 통해 포천 시민의 불편 사항에 대해 즉각적인 응대가 가능하도록 했다.
민원콜센터를 통해 시민은 일반민원, 복지, 세정, 교통, 문화·관광, 생활민원 안내와 함께 환경개선부담금, 상하수도 요금에 대한 납부 금액 및 미납액, 납부계좌 등을 안내 받을 수 있게 됐다. 
아리시스는 포천시 민원콜센터 정식 오픈 이후에도 콜센터 시스템에 대한 예방점검활동을 통해 최적의 운영상태를 유지할 수 있도록지원할계획이다. 장애 지원 헬프데스크를 운영, 콜센터 시스템에 대한 서비스 지원 조직을 구성해 시스템이 안정적으로 운용될 수 있도록 돕는다.
김령현 포천시청 콜센터 구축 TFT 팀장은 ""민원콜센터 정식 오픈을 통해 포천시민들의 민원과 불편사항을 최대한 빨리 해결할 수 있을 것으로 기대하고 있다""며 ""특히 AI 기반 답변봇(Alli)을 통해 콜센터의 상담사 통화뿐 아니라 무인상담을 통한 포천시민의 민원 문제가 많이 해소될 수 있기를 기대한다""고 전했다.
백영현 포천시장은 ""이번 포천시 민원콜센터 개소가 시민들이 행정업무를 처리하고 불편사항을 해소하는 데 큰 도움이 되길 바란다""며 ""시민과 가까이에서 만나는 포천시의 목소리인 만큼 더욱 친절한 응대를 당부한다""고 말했다.
한편, 포천시 민원콜센터는 센터장을 포함해 총 9명의 상담 인력으로 평일 오전 9시부터 오후 6시까지 운영한다. 야간, 토·일요일, 공휴일에는 시청 당직실로 연결된다. ",,,,,,,,,,,,,,,,,,,,,
4,주식회사 케이티,2024-09-23,"KT, AICC로 고객응대 혁신…AI 상담사가 맞춤형 답변 제공한다","KT가 미래 먹거리로 인공지능(AI) 고객센터(AICC)를 띄우고 있다.
AICC는 음성인식, 음성합성, 텍스트 분석, 대화엔진 등 기술을 바탕으로 고객센터 업무를 최적화하는 솔루션이다. KT는 △보이스봇·챗봇 기반 상담 자동화 △AI 상담 어시스트를 활용한 실시간 전문상담 코칭 △AI 목소리로 고객 본인인증 등으로 신속하고 유연한 고객 응대 환경을 지원한다.
특히 AI 상담 어시스트 기능엔 KT의 거대언어모델(LLM)이 적용됐다. KT는 AI 어시스트 기능을 활용해 고객과 대화 음성을 텍스트로 실시간 변환하고 요약 및 분류 등 상담 후처리를 자동화했다. LLM은 고객 문의 내용에 대한 최적의 답변을 추천해준다.
AI 목소리 인증 기술은 고객의 목소리를 성문화(Voice Print)하는 본인인증 수단이다. 고객은 상담사와 자연스럽게 대화하며 10초 내로 본인 인증할 수 있다. 이를 위해 KT는 1만1000석 규모의 인터넷 콜센터(IPCC) 시스템이 구축된 KT 고객센터에서 8K 음성 데이터를 활용했다. KT는 유무선 하루평균 23만 건의 상담 데이터와 300만 명이 넘는 기가지니 가입자 발화 데이터로 AI 기술을 고도화하고 있다.
KT는 AICC 솔루션을 AI 보이스봇 ‘지니’에 적용했다. 지니는 약 187종 업무의 1만2000개 FAQ 시나리오를 학습했다.
KT는 AICC 솔루션에 클라우드 역량을 결합한 ‘KT 에이센(A’cen)도 선보였다. 기업 고객이 간편하게 AICC를 구축하고 이용할 수 있도록 하는 솔루션이다. KT 에이센은 실시간 대화록, 상담 어시스트, 보이스봇, 챗봇과 상담 애플리케이션(앱) 결합 서비스를 제공한다.
상담 앱은 유선 전화, 사회관계망서비스(SNS), 모바일 등 다양한 채널로 들어오는 상담 내역을 통합 관리한다. 채널이 바뀌어도 서비스가 끊기지 않는다는 게 장점이다. 고객이 상담사와 AI 보이스봇을 번갈아 대화할 때도 이질감을 느끼지 않도록 AI 보이스봇의 발화 톤앤매너를 상담사와 맞췄다. KT는 지속해서 AICC에 LLM을 확대 적용할 계획이다.",,,,,,,,,,,,,,,,,,,,,
5,주식회사 케이티,2024-08-14,"AI가 질문 요약하고 응답 제시'…KT, 고객센터 고도화 지속","KT가 마이크로소프트(MS)·아마존 등 글로벌 빅테크와 협력해 인공지능(AI) 기술로 AICC(고객센터) 사업을 확장한다. KT AICC 솔루션은 △보이스봇·챗봇을 통한 상담 자동화 △AI상담 어시스트를 활용한 실시간 상담 지원 △AI 목소리 인증 등의 기능으로 고객센터 업무를 지원한다.
KT는 지난해 AICC 솔루션에 자체 개발 대규모언어모델(LLM) '믿음'을 적용해 대화 분석 고도화 등 기능을 개선했다. 이달 말 부터는 MS애저·AWS를 연동한 AI 상담 어시스트 기술검증(POC)을 진행한다. 기존 AI 상담 어시스트는 소비자의 질의 내용을 실시간 분석해 상담사에게 상담 지식 시스템의 검색 창을 보여주는 것에 그쳤다. MS애저·AWS 솔루션을 연동한 기능은 상담사에게 고객의 대화 내용과 관련된 지식 시스템 내용을 바로 전달한다.
지난 13일 서울 중구 KT서울중앙센터에서 <블로터>와 만난 양승만 KT고객센터혁신팀 부장은 ""지난해부터 KT가 자체 개발한 LLM을 적용해 상담 요약 등 기능을 고도화했다""며 ""올해는 자체 개발한 것과 함께 외부 솔루션과 연동을 시작한 뒤 최종적으로 가장 유용한 것을 찾아갈 것""이라고 말했다.
양 부장은 ""글로벌 빅테크와의 협력으로 KT AICC 솔루션을 구매하는 B2B(기업간 거래) 고객사에게 선택의 폭을 넓혀줄 수 있다""고 부연했다. KT는 AICC 솔루션에 클라우드를 결합한 상품 'KT 에이센(A'cen)'을 기업 고객에게 판매한다. 
AICC는 소비자의 상담 편의성과 상담사의 업무 효율성 증진을 목표로 한다. 먼저 'AI 목소리 인증'은 고객센터 이용 시 목소리만으로 본인인증을 할 수 있게 했다. 이를 통해 본인 확인 시간이 약 19초 단축됐다.
AICC의 또 다른 기능인 AI보이스봇 '지니'는 24시간 상담을 제공한다. 지니는 약 187종 업무의 1만2000개 질의응답 시나리오를 바탕으로 빠른 상담을 제공한다. 지니가 처리하기 어려운 문제는 해당 분야의 전문 상담사가 담당한다. 이에 관해 양 부장은 ""보이스봇 사용이 어려운 노인 고객에게는 빠르게 사람 상담사를 연결한다""며 ""KT 고객센터를 찾는 소비자가 다양한 점을 고려해 기능을 구현한다""고 설명했다.
상담사의 업무를 지원하는 AI 상담 어시스트는 음성인식 AI를 활용해 대화 내용을 분석한다. 이를 바탕으로 대화록, 상담 이력을 제공한다. 예를 들어 소비자와의 대화가 AI보이스봇 지니에서 사람 상담사에게 전환될 때 이전 대화 내용을 요약해 보여준다. 상담 종료 뒤에는 상담 내역을 요약한다.
이러한 기능을 활용하는 KT고객센터 직원은 업무 부담을 덜었다. 전영선 KTcs 무선일반1팀 팀장은 ""예전엔 신입 상담사들이 전화 종료 뒤 상담 내용을 수기로 요약해 기록하는 업무를 가장 어려워했다""며 ""사람이 1~2분 동안 하던 일을 AI어시스트가 10초 안에 해결한다""고 말했다. 전 팀장은 ""AI어시스트 활용 뒤 수기로 할 일이 사라져 상담사들의 책상에서 포스트잇이 사라졌다""고 덧붙였다.
KT는 올해 말 AI를 활용한 상담사 보호 기능도 도입할 계획이다. 고객센터 상담사들은 소비자의 폭언으로 인한 감정노동 문제를 겪는 사례가 많다. 올해 말부터 KT AICC 솔루션은 AI를 기반으로 소비자의 폭언을 감지하면 '더 이상 상담할 수 없다'는 음성 안내를 내보낸 뒤 ARS로 전환하는 기능이 적용된다.",,,,,,,,,,,,,,,,,,,,,
6,주식회사 케이티,2024-02-08,"KT, AICC 등 성장세...""올해는 프라이빗 LLM 시장 공략할 것""
","KT가 2024년에는 대형언어모델(LLM) '믿음'을 기업 사용자에게 맞춤형으로 제공하는 프라이빗 LLM시장을 공략하겠다고 밝혔다. 
KT(대표 김영섭)는 2023년 4분기 실적 발표를 통해 연결기준 연간 매출 26조3870억원을 달성했다고 8일 밝혔다. 이는 역대 최대 매출 기록이며, 특히 AI관련 B2B 5대 성장 사업의 성과가 돋보였다. 
KT는 기업 서비스 분야에서 ▲ AI컨택센터(AICC) ▲ 사물인터넷(IoT) ▲스마트모빌리티 ▲ 스마트 공간 ▲에너지 사업 등 5대 성장 사업에서 성과를 냈다.
특히 AICC와 기업용 IoT 사업에서의 사용자 확대로 5대 성장 사업은 전년 대비 매출이 2.4% 증가했다. 
AICC는 구축형 서비스에 더해 구독형 서비스인 '에이센 클라우드'가 시장에 안착하며 사용자 기반 확대를 위한 상품 라인업을 강화했다. 기업용 IoT 사업은 무선결제시장·이륜차 추적시장에서 점유율 1위를 달성했다. 
여기에 최근 AI 반도체 기업 리벨리온에 330억원을 투자하는 등 ▲AI 클라우드 ▲AI 반도체 ▲초거대 AI 등을 보유한 'AI 풀스택' 사업자로 경쟁력을 강화한다는 계획이다. 
한편, KT는 핵심 사업인 금융·부동산·콘텐츠·DX·보안 등 분야에서 성장세를 보이고 있으며, KT클라우드는 AI클라우드 시장에서의 경쟁력을 강화하고 있다고 전했다. 
장민 KT 전무는 “대내외 어려운 경영환경 속에서도 KT는 고객과 사업 본질에 집중해 역대 최대 매출을 기록할 수 있었다“라며 “2024년에도 IT 역량 강화와 근본적인 사업혁신을 통해 양적인 성장뿐만 아니라 질적인 성장을 이뤄내 KT의 기업가치와 주주가치 모두 높일 수 있도록 노력하겠다”고 말했다.",,,,,,,,,,,,,,,,,,,,,
7,주식회사 케이티,2024-09-04,"AICC 공들이는 KT, 정작 고객불만은 회피","KT가 AI 기반 고객센터(AICC) 사업 경쟁력 강화를 꾀하고 있지만 고객불만(VOC) 처리에는 소극적이라는 비판이 나오고 있다. 최근 KT 측은 본사 고객센터로 접수되는 VOC를 줄이기 위해 이를 판매점으로 떠넘기는 방안을 시도했던 것. VOC가 상담 인력 최소화와 인건비 절감이라는 KT의 전략에 걸림돌이 되고 있다 보니 책임을 전가하고 있다는 게 업계의 시각이다.
2일 업계에 따르면 KT와 계약을 맺은 서울의 한 대리점은 최근 산하 판매점에 VOC 접수 시 패널티를 부과하겠다는 공지를 돌렸다. 판매점에서 KT요금제에 가입한 고객이 본사 고객센터에 연락해 위약금 지원 등과 관련한 불만·항의 사항을 접수할 경우 해당 판매점에 벌금성 패널티를 물리겠다는 내용이다. 이 같은 조치가 강압적이라는 판매점주들의 문제 제기에 KT는 하루 만에 해당 공지를 철회한 것으로 전해졌다.
업계 한 관계자는 ""최근 서울의 한 KT 대리점이 본사로 VOC가 발생하면 무조건 패널티를 부여하겠다는 문자를 판매점에 발송했다""며 ""판매점에서 가입한 고객도 KT 고객인데 이 같은 조치는 이해하기 어려운 조치""라고 지적했다. 이어 ""가입 절차가 정확하게 이뤄졌다고 해도 소비자는 언제든지 궁금증이 생길 수 있고, 이를 본사에 문의할 권리가 있다""며 ""본사에 연락했다고 해서 패널티를 부과하는 것은 부당하다""고 덧붙였다.
이 같은 해프닝은 고정비 절감 등을 위해 KT가 고객센터 VOC 접수를 최대한 줄이고 있는 것과 무관치 않다. 실제 이 회사는 상담사 등 인건비 절감과 고객 응대 효율화를 목표로 AI 기반 고객센터(AICC)의 역량 강화에 주력하고 있다. 이에 KT가 AICC의 성과를 극대화하기 위해 VOC 접수를 최소화하고 있는 것 아니냐는 관측도 일각에서 나오고 있다.
AICC 사업은 KT에서 가시적 성과를 내고 있다. KT의 2023년 사업보고서에 따르면 해당 사업은 기업고객 대상으로 AI 콜센터를 구축하는 구축형·비지니스 프로세스 아웃소싱(BPO) 사업을 중심으로 수주가 확대되면서 연간 두 자릿수 성장세를 이어가고 있다. 2022년에는 클라우드 기반 '에이센 클라우드'를 출시해 중·소형업체로 고객층을 넓혔다. 업계는 AICC사업부의 지난해 수주 규모가 2500억원에 달할 것으로 예측하고 있다.
KT는 지난 6월 VOC 통합 관리 시스템인 'AI-VOC 포털'을 사내에 확대 적용하기도 했다. 당시 회사는 매달 약 300만건에 달하는 고객 문의와 불편 사항에 대해 신속히 대응하고 있다고 밝히며, ""AI-VOC 포털을 활용한 결과 VOC가 전년 대비 약 51% 감소했다""면서 ""이번 전사 확대를 통해 VOC 감축이 더욱 탄력을 받을 것""이라고 자신했다. 회사는 VOC 포털의 기능을 개선한 '넥스트 VOC 포털'도 내년 중 선보일 계획이다.
그러나 이 같은 상황에서도 이른바 '불만 콜'의 증가는 상담 인력을 줄이는 데 걸림돌이 될 가능성이 크다. 여전히 많은 고객들이 AI 보이스 봇 등 기계음보다는 사람인 전문 상담사와의 직접 연결을 요구하고 있다는 게 업계의 시각이다. KT 콜센터 업무를 담당하는 자회사 KT IS·CS의 현장직군 근로자는 2021년 1만6502명에서 2022년 1만5927명으로 줄어든 이후 지난해 1만6502명, 올해 상반기 1만6534명 등 다시 늘어나는 추세다.
이와 관련해 KT 관계자는 ""일부 대리점에서 자체적으로 판매점에 지침 내린 것이라 일반화 시키기엔 무리가 있다""며 ""AICC 도입은 고객 케어 효율을 높이는 목적으로  상담사 감원 및 인건비 절감과는 무관하다""고 전했다. ",,,,,,,,,,,,,,,,,,,,,
8,주식회사 케이티,2024-08-06,구독형 AICC ‘KT 에이센 클라우드’ 병ㆍ의원 도입 확산,"비대면업무가 활성화되면서 금융, 유통 등 다양한 산업분야에서 경영비용 절감과 업무 효율을 위해 콜센터의 디지털 전환(DX), ‘AICC(AI Contact Center)’ 도입을 빠르게 추진하고 있다.
특히 최근에는 상급종합병원뿐 아니라 일반 병ㆍ의원에서도 AICC를 도입해 AI가 진료일정 안내와 예약을 지원하고 있다.
KT대구경북광역본부(본부장 최시환)는 에이센 클라우드(A’cen Cloud)가 진료시간, 주차 안내 같은 단순 응대부터 진료예약 및 변경사항 확인 등 병원 전화상담 업무를 맞춤형으로 지원한다고 6일 밝혔다.
에이센 클라우드는 고객센터 구축에 필요한 콜인프라 장비와 솔루션을 클라우드에 구축하고 네트워크를 통해 제공하는 AICC로 매달 쓴 만큼만 내는 구독형 서비스이다.
초기 구축 비용과 장비 운영에 대한 부담없이 필요한 만큼 탄력적으로 운영이 가능하며 대기시간 최소화와 상담 이력 관리를 통해 고객 만족도 제고에 기여한다.
상담사가 통화 중이거나 부재 중인 경우 대신 응대하고 상담화면에서 콜백기록 확인도 가능하다. 상담사와의 음성 대화를 문자로 실시간 기록하고 상담 분류와 요약도 자동으로 이뤄지며, 이용자의 발화에 맞춰 추천 상담 스크립트도 생성해 준다.
대구 수성구에 위치한 안과수술전문병원 ‘잘보는안과’는 지난 6월 에이센 클라우드를 도입했다. 이동규 원무팀장은 “업무 시간 중 전화상담에 대한 부담은 덜면서 효율적이고 빠른 대응이 가능해 상담 처리율이 증가했다” 며 “하루 평균 40여건의 콜백을 처리한다”고 말했다.
KT대구경북광역본부장 최시환 전무는 “KT는 국내 최대규모의 콜센터 운영 노하우와 AI기술을 바탕으로 고객사의 상황과 환경에 맞는 AICC 솔루션 제공으로 비용 절감과 운영 효율 극대화에 기여하겠다”고 말했다.",,,,,,,,,,,,,,,,,,,,,
9,주식회사 케이티,2024-06-10,"AICC' 뭐길래?…KT, 주요 AI 먹거리로 자리잡았다","국내에서 가장 빠르게 인공지능(AI) 콜센터 'AICC' 시장을 확장시키고 있는 KT가 금융업을 넘어 제조업, 공공기관 등까지 AICC 도입 분야를 넓히는 데 선제적인 역할을 하고 있다. 이를 통해 KT는 올 1분기 전년 대비 두 자리 수 매출 성장률에 더해 내년에는 3000억원을 달성하겠는 목표다.
AICC는 음성인식, 음성합성, 텍스트 분석, 대화엔진 등의 기술을 바탕으로 고객센터의 전체 업무를 최적화하는 시스템이다. KT는 AICC를 필두로 자사의 5대 신성장사업을 키울 계획이다.
10일 ICT업계에 따르면 KT는 2018년부터 자사 고객센터에 AICC를 도입한 이후 2020년부터 본격적으로 AICC 사업을 확대하며, 지난해 기준 수주액 2500억원을 넘어섰다. 이는 2022년 785억원 규모에서 1년 사이 3배 이상이 증가한 것이다. 올해도 신한은행 등 금융업계에서 AICC 도입을 대대적으로 확대하면서 그에따라 KT도 수주 규모가 확대될 것으로 보인다. 이미 올 1분기에는 전년 대비 두 자리수 매출 성장률을 기록했다.
AICC 선전에 힘입어 AICC를 포함한 KT의 5대 성장사업 매출(AICC·IoT·스마트모빌리티·스마트공간·에너지)은 지난 1분기 928억원을 기록해 1년 새 4.9% 성장했다.
KT는 국내 최대 8000석 규모의 콜센터 운영을 통해 확보한 노하우와 AI 기술을 바탕으로 AICC 사업을 확대하고 있다. KT는 지난 2014년 1만1000석 규모의 국내 최대 IPCC(인터넷 콜센터) 시스템이 구축된 국내 최대 규모의 콜센터를 운영하면서 8K 음성 데이터 등 AICC 사업에 필요한 노하우와 AI 기술을 확보했다. KT 고객센터에서 처리되는 유무선 일평균 23만콜의 전화와 330만 기가지니 가입자들의 발화 데이터를 기반으로 계속해서 AI 기술을 향상시키고 있다.
핵심 기술인 'AI 목소리 인증'은 2019년에 전국의 KT 고객센터에 적용된 후 현재까지 340만명 이상의 고객이 목소리를 등록하고, 월 평균 36만명이 목소리 인증을 체험하고 있다.
KT는 지난 2022년 1월 AICC 솔루션에 클라우드 역량을 결합한 서비스형 AICC인 'KT 에이센 클라우드'도 선보인 바 있다. 에이센 클라우드는 실시간 대화록, 상담 어시스턴트, 보이스봇·챗봇을 상담 애플리케이션이 유기적으로 결합돼 서비스를 제공한다. 상담 내용은 실시간 텍스트로 기록되며 상담분류와 요약생성도 자동으로 이뤄진다.
KT는 향후 금융, 보험, 카드, 커머스 분야 업종에 에이센 클라우드가 도입될 경우 업무생산성 15% 향상, 운영비용 15% 절감, 구축비용 30% 절감 등의 효과를 기대할 수 있다고 분석한다. 실제 고객사인 보일러 제조사 린나이는 KT 에이센 클라우드를 도입한 후 고객 콜에 대한 상담 처리율은 1.5배 상승(45%→69%), 포기콜은 71.7%(1.4만건→0.4만건) 감소의 개선 효과를 얻었다.
국내 AICC 시장은 연평균 23.7% 성장할 것으로 기대되고 있다. 시장조사업체 얼라이드마켓리서치에 따르면 국내 AICC 시장의 연평균 성장률은 23.7%로 2030년에는 약 4546억원 규모에 달할 것으로 전망했다. 또 리서치앤드마켓은 세계 AICC 시장 규모를 2020년 155억달러(약 20조950억원)에서 연평균 25% 증가해 2025년 361억달러(약 46조8790억원) 규모로 성장할 것으로 예측했다.",,,,,,,,,,,,,,,,,,,,,
10,주식회사 케이티,2021-06-17,"직방, KT와 AI컨택센터 MOU 통한 디지털 전환 주도","종합 프롭테크 기업 ㈜직방(대표 안성우)은 KT(대표이사 구현모)와 17일 오전 서울 종로구 KT 광화문빌딩에서 부동산 분야 AI컨택센터 사업협력 위한 업무협약(MOU)을 체결했다고 밝혔다.
이번 협약은 ▲ 직방 전용 KT AICC 보이스봇 플랫폼 구축, 운영, ▲KT AI, BigData 기술과 직방의 도메인 지식을 결합한 공동•제휴 서비스 개발, ▲ 신규 서비스 사업화를 위한 상품기획 및 마케팅 협력을 주요 골자로 하고 있다.
이를 통해 부동산 매물 정보 확인 등 단순 반복적인 발신 콜을 KT의 AI컨택센터(Artificial Intelligence Contact Center, 이하 AICC) 솔루션을 활용, 보이스봇이 담당하게 함으로써 업무를 자동화하고 효율을 제고할 수 있을 것으로 보인다. 또한, AI 보이스봇이 통화내용을 텍스트로 제공하여 매물정보의 데이터관리 편의성 증가도 예상된다.
직방 박영걸 CTO는 “직방이 추진하는 다양한 신규사업 분야에서도 KT의 음성인식기술 접목이 가능한 부분이 있을 것으로 예상된다”며, “AICC 선도회사인 KT와 협력을 통해 직방의 매물정보 경쟁력을 강화하고, 부정확한 정보에 따른 허위 매물을 근절하여 직방 이용 고객의 만족도를 더욱 높일 수 있을 것으로 보인다”고 말했다.
KT AI, BigData 최준기 본부장은 “프롭테크 선두주자인 직방과 협력해 부동산 분야에서 AI를 활용한 다양한 협력사례가 나올 것으로 기대한다”며, “KT는 향후 더욱 다양한 산업 영역으로 AICC를 확대해, 업무처리 자동화, 체계적 데이터 관리, 데이터 자산화 지원 등 가치를 제공하겠다”고 말했다.",,,,,,,,,,,,,,,,,,,,,
